TaskID,OriginalRegion,NewRegion,OriginalStartHour,NewStartHour,EstimatedEnergySaving_CNY,Scenario,Iteration
42967,RegionD,RegionD,1604.0,1596.0,16472.77793279979,最低碳排放端点_联合协调,2
31216,RegionD,RegionA,932.0,920.0,16472.18298880011,最低碳排放端点_联合协调,2
4082,RegionF,RegionD,2039.0,2043.0,16467.149184000282,最低碳排放端点_联合协调,2
7736,RegionD,RegionD,621.0,628.0,16431.860223999865,最低碳排放端点_联合协调,2
35932,RegionD,RegionF,2085.0,2074.0,16420.454673065586,最低碳排放端点_联合协调,2
32767,RegionD,RegionD,1893.0,1898.0,16420.1472,最低碳排放端点_联合协调,2
15210,RegionD,RegionF,1221.0,1211.0,16405.13740800034,最低碳排放端点_联合协调,2
16012,RegionD,RegionD,408.0,411.0,16385.544191999998,最低碳排放端点_联合协调,2
12378,RegionE,RegionB,1677.0,1677.0,16380.066666666557,最低碳排放端点_联合协调,2
40372,RegionD,RegionF,21.0,21.0,16374.2765056,最低碳排放端点_联合协调,2
47207,RegionE,RegionF,1344.0,1344.0,16371.132,最低碳排放端点_联合协调,2
48302,RegionD,RegionF,600.0,600.0,16335.945728,最低碳排放端点_联合协调,2
15763,RegionD,RegionD,936.0,939.0,16318.464,最低碳排放端点_联合协调,2
47776,RegionE,RegionF,547.0,547.0,16316.340300000214,最低碳排放端点_联合协调,2
17130,RegionE,RegionE,1992.0,1999.0,16275.027600000263,最低碳排放端点_联合协调,2
37713,RegionD,RegionD,625.0,628.0,16259.733504,最低碳排放端点_联合协调,2
30636,RegionD,RegionE,1437.0,1435.0,16235.74784,最低碳排放端点_联合协调,2
29155,RegionD,RegionF,1097.0,1092.0,16210.995882667126,最低碳排放端点_联合协调,2
13633,RegionD,RegionD,213.0,220.0,16205.692450133329,最低碳排放端点_联合协调,2
10328,RegionD,RegionE,1913.0,1907.0,16202.437973333652,最低碳排放端点_联合协调,2
24338,RegionD,RegionD,641.0,637.0,16195.852800000295,最低碳排放端点_联合协调,2
45540,RegionD,RegionF,217.0,217.0,16192.770048,最低碳排放端点_联合协调,2
273,RegionD,RegionF,1271.0,1271.0,16182.704196266954,最低碳排放端点_联合协调,2
11380,RegionD,RegionA,2108.0,2097.0,16182.267903999336,最低碳排放端点_联合协调,2
13861,RegionD,RegionD,689.0,681.0,16171.620044799973,最低碳排放端点_联合协调,2
30122,RegionD,RegionD,1604.0,1594.0,16147.676159999732,最低碳排放端点_联合协调,2
39896,RegionD,RegionD,1486.0,1491.0,16145.664,最低碳排放端点_联合协调,2
4942,RegionD,RegionE,1440.0,1440.0,16145.442816000002,最低碳排放端点_联合协调,2
44659,RegionD,RegionD,69.0,75.0,16140.558336000026,最低碳排放端点_联合协调,2
